epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2312,1.01557,2.12833,0.00619,0.7688,0.79161,0.7993,0.57582,0.87207,0.90128,0.00699,0.000365871,0.000365871,0.000365871
2,25.3549,0.89303,0.88419,0.00535,0.91166,0.88286,0.89456,0.76105,0.67344,0.51564,0.00591,0.000736185,0.000736185,0.000736185
3,36.9501,0.88335,0.72505,0.00528,0.7977,0.91662,0.90529,0.79982,0.60409,0.49924,0.00522,0.00110642,0.00110642,0.00110642
4,47.945,0.86025,0.66132,0.00515,0.91888,0.92223,0.92678,0.81366,0.65535,0.47213,0.00517,0.00111073,0.00111073,0.00111073
5,59.3185,0.82471,0.61806,0.00466,0.90673,0.92516,0.92627,0.81442,0.63407,0.45273,0.00518,0.00111052,0.00111052,0.00111052
6,70.2489,0.82079,0.60132,0.00473,0.93398,0.92056,0.93253,0.8181,0.68034,0.41962,0.00521,0.00111025,0.00111025,0.00111025
7,81.4767,0.78982,0.5587,0.00472,0.91806,0.92332,0.93895,0.82047,0.67487,0.42587,0.00512,0.00110991,0.00110991,0.00110991
8,93.2193,0.78408,0.5582,0.00433,0.88483,0.92178,0.93298,0.79887,0.69166,0.41387,0.00522,0.00110952,0.00110952,0.00110952
9,104.643,0.77521,0.53261,0.00447,0.93164,0.92154,0.94245,0.83677,0.59754,0.38825,0.00469,0.00110907,0.00110907,0.00110907
10,115.69,0.7571,0.53438,0.0043,0.93567,0.93028,0.9425,0.84221,0.56314,0.38248,0.00449,0.00110856,0.00110856,0.00110856
11,126.844,0.75641,0.51954,0.00432,0.94088,0.93387,0.94655,0.84616,0.56637,0.35522,0.00456,0.00110799,0.00110799,0.00110799
12,138.034,0.74142,0.5181,0.00421,0.94036,0.92485,0.94553,0.85076,0.54853,0.37051,0.00434,0.00110736,0.00110736,0.00110736
13,149.471,0.74911,0.51783,0.00416,0.92324,0.93399,0.94521,0.8493,0.55269,0.39208,0.00467,0.00110666,0.00110666,0.00110666
14,160.698,0.72522,0.50393,0.00418,0.91879,0.93526,0.9443,0.84237,0.56886,0.40436,0.00437,0.00110591,0.00110591,0.00110591
15,172.376,0.70825,0.49362,0.00396,0.93404,0.93406,0.94527,0.84371,0.5831,0.37785,0.00442,0.0011051,0.0011051,0.0011051
16,183.951,0.71474,0.50256,0.00419,0.92291,0.93835,0.94643,0.85014,0.56182,0.36988,0.00431,0.00110423,0.00110423,0.00110423
17,195.498,0.70214,0.48535,0.00386,0.9234,0.93972,0.94571,0.832,0.5927,0.38251,0.00453,0.0011033,0.0011033,0.0011033
18,206.874,0.68747,0.47914,0.00397,0.92851,0.92465,0.94507,0.8361,0.61026,0.38494,0.00442,0.00110231,0.00110231,0.00110231
19,218.207,0.67706,0.47001,0.00374,0.93275,0.93835,0.9474,0.85803,0.57006,0.39388,0.00413,0.00110126,0.00110126,0.00110126
20,229.603,0.67817,0.47714,0.00371,0.92265,0.93648,0.94788,0.86409,0.51296,0.39044,0.0036,0.00110015,0.00110015,0.00110015
21,241.32,0.67682,0.47939,0.00386,0.93158,0.92485,0.94747,0.85109,0.53903,0.36874,0.00409,0.00109898,0.00109898,0.00109898
22,253.383,0.69171,0.47804,0.00401,0.93731,0.93222,0.94972,0.84683,0.56003,0.37314,0.00419,0.00109776,0.00109776,0.00109776
23,266.299,0.68882,0.48533,0.00384,0.93552,0.94174,0.94944,0.85071,0.55795,0.36659,0.00406,0.00109647,0.00109647,0.00109647
24,277.639,0.66116,0.45239,0.00362,0.93585,0.93119,0.94964,0.8537,0.5584,0.37662,0.00394,0.00109513,0.00109513,0.00109513
25,288.762,0.65993,0.45438,0.00363,0.93514,0.93597,0.9493,0.85301,0.54415,0.37415,0.00401,0.00109372,0.00109372,0.00109372
26,299.976,0.65123,0.45699,0.00359,0.9354,0.93812,0.94913,0.85266,0.54012,0.37244,0.00423,0.00109226,0.00109226,0.00109226
27,311.016,0.65187,0.45707,0.00357,0.93527,0.93198,0.94784,0.85808,0.53847,0.37008,0.00412,0.00109074,0.00109074,0.00109074
28,322.402,0.63729,0.45049,0.00359,0.93688,0.9431,0.95279,0.87171,0.51547,0.34657,0.00372,0.00108916,0.00108916,0.00108916
29,333.921,0.66363,0.46487,0.00359,0.94706,0.93703,0.95196,0.86149,0.53822,0.36481,0.00391,0.00108753,0.00108753,0.00108753
30,345.129,0.66184,0.45613,0.00359,0.93548,0.93458,0.95006,0.85514,0.56642,0.36833,0.004,0.00108583,0.00108583,0.00108583
31,356.248,0.62968,0.44085,0.00348,0.93943,0.94297,0.95336,0.87046,0.51388,0.34107,0.00375,0.00108408,0.00108408,0.00108408
32,367.373,0.6456,0.45605,0.00352,0.93445,0.94014,0.95132,0.86981,0.51072,0.37239,0.00364,0.00108228,0.00108228,0.00108228
33,378.452,0.62248,0.43182,0.00334,0.94059,0.94065,0.95158,0.84857,0.55149,0.36941,0.00393,0.00108041,0.00108041,0.00108041
34,389.672,0.62776,0.44528,0.00341,0.94655,0.93894,0.95031,0.86057,0.53306,0.3577,0.004,0.00107849,0.00107849,0.00107849
35,400.755,0.64042,0.4368,0.00337,0.94333,0.94455,0.95393,0.85972,0.53062,0.35917,0.00409,0.00107651,0.00107651,0.00107651
36,411.73,0.60095,0.43168,0.00326,0.94046,0.94414,0.95306,0.86795,0.51555,0.34686,0.00383,0.00107447,0.00107447,0.00107447
37,422.826,0.61348,0.44159,0.00337,0.91173,0.93137,0.94181,0.8444,0.55499,0.38541,0.004,0.00107238,0.00107238,0.00107238
38,434.101,0.60505,0.43574,0.00343,0.92298,0.93838,0.94838,0.86526,0.48478,0.34547,0.00375,0.00107023,0.00107023,0.00107023
39,445.252,0.62892,0.44108,0.00341,0.9383,0.93134,0.95438,0.86297,0.50261,0.35184,0.0038,0.00106803,0.00106803,0.00106803
40,456.537,0.57951,0.43106,0.00318,0.93107,0.94222,0.95299,0.86454,0.50732,0.35095,0.00383,0.00106577,0.00106577,0.00106577
41,467.723,0.59335,0.43824,0.00344,0.93692,0.92525,0.95246,0.86916,0.48641,0.34584,0.00374,0.00106345,0.00106345,0.00106345
42,478.727,0.59873,0.43414,0.00337,0.93142,0.9411,0.9538,0.86107,0.53954,0.35147,0.00401,0.00106108,0.00106108,0.00106108
43,489.837,0.62123,0.43472,0.00344,0.93715,0.93634,0.9541,0.87267,0.51509,0.34049,0.00399,0.00105866,0.00105866,0.00105866
44,500.974,0.60103,0.42963,0.00324,0.93711,0.93544,0.95591,0.86582,0.49543,0.35127,0.00373,0.00105618,0.00105618,0.00105618
45,512.208,0.58595,0.43157,0.00326,0.93751,0.93985,0.95433,0.86823,0.50331,0.34948,0.00368,0.00105365,0.00105365,0.00105365
46,523.384,0.57859,0.4264,0.00324,0.93407,0.94012,0.95585,0.87508,0.49288,0.35468,0.00362,0.00105106,0.00105106,0.00105106
47,534.48,0.57951,0.42838,0.00324,0.94313,0.94313,0.95649,0.88311,0.47277,0.33334,0.00345,0.00104842,0.00104842,0.00104842
48,545.655,0.58294,0.41784,0.0031,0.92957,0.91437,0.95193,0.87116,0.48322,0.35222,0.00364,0.00104572,0.00104572,0.00104572
49,556.862,0.57827,0.43557,0.00318,0.94385,0.94053,0.95683,0.87563,0.48539,0.33011,0.00364,0.00104298,0.00104298,0.00104298
50,568.275,0.57544,0.42653,0.00329,0.94855,0.94173,0.95582,0.86553,0.48848,0.33222,0.00378,0.00104017,0.00104017,0.00104017
51,579.877,0.57239,0.42237,0.00337,0.94022,0.93305,0.95537,0.87454,0.47282,0.33956,0.00356,0.00103732,0.00103732,0.00103732
52,591.112,0.5741,0.41549,0.00301,0.93954,0.93468,0.95441,0.85503,0.50239,0.35778,0.00397,0.00103442,0.00103442,0.00103442
53,602.257,0.56772,0.41854,0.0032,0.93374,0.94193,0.95525,0.86541,0.50131,0.34938,0.00371,0.00103146,0.00103146,0.00103146
54,613.343,0.56646,0.42107,0.0032,0.93387,0.92972,0.94913,0.86451,0.50259,0.36941,0.00369,0.00102845,0.00102845,0.00102845
55,624.564,0.5855,0.42682,0.00333,0.93983,0.94074,0.95645,0.8745,0.50089,0.34548,0.00367,0.00102539,0.00102539,0.00102539
56,636.432,0.58035,0.42172,0.00334,0.93973,0.94091,0.95419,0.8745,0.50357,0.34529,0.00369,0.00102228,0.00102228,0.00102228
57,647.587,0.57687,0.40907,0.00311,0.94241,0.9374,0.95704,0.8698,0.49487,0.34361,0.00368,0.00101912,0.00101912,0.00101912
58,658.883,0.56334,0.41226,0.00314,0.94613,0.94128,0.95963,0.8948,0.46258,0.33266,0.00332,0.0010159,0.0010159,0.0010159
59,670.169,0.57691,0.41579,0.00309,0.94246,0.94289,0.9562,0.87272,0.50207,0.34011,0.00368,0.00101264,0.00101264,0.00101264
60,681.426,0.56599,0.40619,0.00304,0.93912,0.94387,0.95788,0.88995,0.46371,0.34217,0.00329,0.00100933,0.00100933,0.00100933
61,692.587,0.55024,0.39519,0.00298,0.93853,0.94322,0.9592,0.88624,0.48034,0.33034,0.00345,0.00100597,0.00100597,0.00100597
62,703.697,0.54139,0.39506,0.00301,0.93449,0.92936,0.95758,0.86847,0.50883,0.34087,0.00374,0.00100256,0.00100256,0.00100256
63,714.676,0.57248,0.42208,0.00324,0.9402,0.94746,0.95829,0.86917,0.49909,0.33179,0.00376,0.000999103,0.000999103,0.000999103
64,725.711,0.56096,0.40933,0.00313,0.94247,0.9411,0.95672,0.8856,0.46022,0.33328,0.00331,0.000995597,0.000995597,0.000995597
65,736.676,0.58369,0.43167,0.0033,0.93935,0.94159,0.95897,0.86483,0.54194,0.34898,0.00394,0.000992043,0.000992043,0.000992043
66,747.868,0.55624,0.41129,0.00308,0.9275,0.94073,0.9585,0.88827,0.46244,0.33377,0.00321,0.000988443,0.000988443,0.000988443
67,758.944,0.57043,0.41087,0.0031,0.94143,0.93377,0.95873,0.88445,0.47959,0.33449,0.00326,0.000984795,0.000984795,0.000984795
68,770.085,0.5748,0.41422,0.00321,0.94665,0.93988,0.95617,0.87906,0.52085,0.33891,0.00361,0.000981101,0.000981101,0.000981101
69,781.088,0.54428,0.40361,0.00316,0.9462,0.93811,0.95564,0.86445,0.49645,0.33507,0.00373,0.000977361,0.000977361,0.000977361
70,792.16,0.54374,0.4054,0.00313,0.94393,0.94307,0.95657,0.88548,0.4778,0.33671,0.00326,0.000973575,0.000973575,0.000973575
71,803.439,0.5546,0.40249,0.00305,0.94033,0.94446,0.95763,0.88354,0.48613,0.33351,0.00352,0.000969744,0.000969744,0.000969744
72,815.137,0.54122,0.39845,0.00297,0.94682,0.93445,0.95834,0.88773,0.45777,0.33495,0.00326,0.000965868,0.000965868,0.000965868
73,826.252,0.55156,0.41099,0.00294,0.94119,0.94344,0.95941,0.88588,0.49333,0.3375,0.00347,0.000961948,0.000961948,0.000961948
74,837.196,0.55423,0.40613,0.00301,0.93791,0.93857,0.95641,0.88814,0.46655,0.3331,0.00337,0.000957983,0.000957983,0.000957983
75,848.183,0.53975,0.40888,0.00304,0.94278,0.94062,0.95868,0.8947,0.44865,0.32888,0.00321,0.000953976,0.000953976,0.000953976
76,859.179,0.53784,0.40508,0.00298,0.94709,0.94448,0.95809,0.88242,0.45399,0.32984,0.00337,0.000949925,0.000949925,0.000949925
77,870.882,0.55774,0.39965,0.003,0.94542,0.94298,0.9588,0.89235,0.4638,0.31945,0.00333,0.000945831,0.000945831,0.000945831
78,882.052,0.54352,0.40024,0.00294,0.94225,0.94549,0.95957,0.88113,0.51079,0.33323,0.00349,0.000941696,0.000941696,0.000941696
79,893.069,0.54153,0.40521,0.0029,0.93981,0.94357,0.95825,0.89176,0.45579,0.32806,0.00312,0.000937518,0.000937518,0.000937518
80,904.157,0.52997,0.39403,0.00291,0.94117,0.9461,0.95891,0.8887,0.46853,0.329,0.0032,0.0009333,0.0009333,0.0009333
81,915.245,0.53328,0.39658,0.00308,0.93493,0.94649,0.95699,0.87771,0.46696,0.342,0.00349,0.00092904,0.00092904,0.00092904
82,926.36,0.54221,0.39951,0.00306,0.91402,0.93888,0.95799,0.8759,0.4968,0.34617,0.00355,0.00092474,0.00092474,0.00092474
83,937.378,0.53355,0.38516,0.0029,0.93088,0.94176,0.9582,0.88031,0.46239,0.3316,0.0034,0.0009204,0.0009204,0.0009204
84,948.476,0.55018,0.40481,0.00302,0.94612,0.94439,0.95574,0.8868,0.469,0.33436,0.00335,0.000916021,0.000916021,0.000916021
85,959.511,0.53611,0.38532,0.00289,0.9462,0.94652,0.95516,0.88235,0.48267,0.33661,0.00338,0.000911603,0.000911603,0.000911603
86,970.682,0.54266,0.40121,0.00288,0.94538,0.94206,0.95772,0.87721,0.49624,0.33349,0.00357,0.000907147,0.000907147,0.000907147
87,981.716,0.53571,0.39586,0.00296,0.9463,0.94592,0.96015,0.89032,0.47305,0.32608,0.00329,0.000902652,0.000902652,0.000902652
88,992.731,0.52885,0.39416,0.00297,0.94652,0.94502,0.96138,0.89329,0.45964,0.32312,0.00316,0.00089812,0.00089812,0.00089812
89,1003.76,0.53907,0.4019,0.00299,0.94696,0.94172,0.96086,0.88653,0.48332,0.33577,0.00336,0.000893551,0.000893551,0.000893551
90,1014.87,0.53442,0.39061,0.0029,0.94438,0.94419,0.96075,0.87847,0.47816,0.32555,0.00355,0.000888946,0.000888946,0.000888946
91,1025.9,0.52539,0.38902,0.00288,0.94724,0.94466,0.96214,0.88954,0.48505,0.32136,0.00343,0.000884305,0.000884305,0.000884305
92,1037.26,0.54501,0.38988,0.00288,0.94514,0.94541,0.95927,0.87943,0.45897,0.33551,0.00353,0.000879628,0.000879628,0.000879628
93,1048.92,0.51884,0.38397,0.00287,0.94319,0.94527,0.96078,0.89736,0.43594,0.32253,0.00304,0.000874916,0.000874916,0.000874916
94,1060.19,0.51969,0.39699,0.00294,0.93474,0.94671,0.95706,0.88153,0.45159,0.33315,0.00335,0.00087017,0.00087017,0.00087017
95,1071.26,0.51372,0.39254,0.00279,0.93549,0.94716,0.95947,0.88208,0.44615,0.32446,0.00331,0.00086539,0.00086539,0.00086539
96,1082.73,0.51377,0.37344,0.00275,0.9285,0.94044,0.96084,0.88922,0.45133,0.33927,0.00343,0.000860577,0.000860577,0.000860577
97,1093.83,0.52417,0.39065,0.00284,0.93922,0.94047,0.9611,0.88743,0.46743,0.32712,0.00344,0.00085573,0.00085573,0.00085573
98,1104.83,0.52826,0.38876,0.00296,0.90182,0.93867,0.95731,0.88609,0.46315,0.34084,0.00344,0.000850852,0.000850852,0.000850852
99,1116,0.51692,0.38872,0.00289,0.94422,0.94351,0.96209,0.89201,0.47135,0.32715,0.00334,0.000845941,0.000845941,0.000845941
100,1127.21,0.52524,0.39776,0.00288,0.94683,0.94446,0.96077,0.88973,0.48077,0.31704,0.00327,0.000841,0.000841,0.000841
101,1138.37,0.52749,0.39161,0.00275,0.94526,0.94366,0.96346,0.88264,0.47014,0.3205,0.00339,0.000836027,0.000836027,0.000836027
102,1149.37,0.521,0.38774,0.00279,0.94192,0.94146,0.96303,0.88913,0.45765,0.33449,0.00331,0.000831025,0.000831025,0.000831025
