epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,328.684,0.4263,0.37547,0.85164,0.94003,0.94781,0.95981,0.88936,0.43655,0.3493,0.79284,0.00106108,0.00106108,0.00106108
43,336.356,0.446,0.38567,0.85969,0.94734,0.94824,0.96265,0.88274,0.44236,0.34215,0.79002,0.00105866,0.00105866,0.00105866
44,344.042,0.42868,0.37649,0.85362,0.94707,0.94825,0.96171,0.88397,0.44215,0.33994,0.78953,0.00105618,0.00105618,0.00105618
45,351.71,0.42907,0.38127,0.8565,0.94386,0.94792,0.96253,0.89235,0.42612,0.34505,0.79211,0.00105365,0.00105365,0.00105365
46,359.376,0.42102,0.37627,0.85433,0.94646,0.94823,0.96223,0.88921,0.43545,0.34006,0.79361,0.00105106,0.00105106,0.00105106
47,367.021,0.4266,0.37879,0.85304,0.94765,0.94788,0.96305,0.88423,0.43728,0.34146,0.79207,0.00104842,0.00104842,0.00104842
48,374.732,0.43067,0.37565,0.85387,0.94768,0.94807,0.9638,0.88857,0.44078,0.34491,0.79339,0.00104572,0.00104572,0.00104572
49,382.647,0.43202,0.37867,0.85559,0.94575,0.94888,0.96349,0.884,0.42953,0.32839,0.79282,0.00104298,0.00104298,0.00104298
50,390.841,0.41753,0.37311,0.85326,0.94412,0.94827,0.96056,0.88426,0.45024,0.34178,0.79222,0.00104017,0.00104017,0.00104017
51,398.932,0.41641,0.37328,0.85448,0.94588,0.94791,0.962,0.89614,0.41219,0.3309,0.79086,0.00103732,0.00103732,0.00103732
52,406.9,0.41551,0.36519,0.84938,0.87003,0.94782,0.96187,0.88391,0.43303,0.34712,0.79586,0.00103442,0.00103442,0.00103442
53,414.438,0.41794,0.37329,0.85486,0.94804,0.94824,0.96133,0.89324,0.40863,0.33325,0.78972,0.00103146,0.00103146,0.00103146
54,421.994,0.41674,0.36899,0.85094,0.94865,0.94806,0.96296,0.88638,0.41952,0.33471,0.791,0.00102845,0.00102845,0.00102845
55,429.667,0.42156,0.37521,0.85589,0.94787,0.94835,0.96258,0.89271,0.42367,0.3384,0.79155,0.00102539,0.00102539,0.00102539
56,437.429,0.41894,0.37073,0.85555,0.94816,0.94817,0.96186,0.89077,0.43103,0.34123,0.78835,0.00102228,0.00102228,0.00102228
57,445.195,0.41267,0.36147,0.84841,0.94447,0.94837,0.96122,0.89148,0.42228,0.33736,0.79062,0.00101912,0.00101912,0.00101912
58,452.94,0.41629,0.36836,0.85041,0.94623,0.94777,0.96353,0.89709,0.40933,0.33353,0.78621,0.0010159,0.0010159,0.0010159
59,460.748,0.41124,0.364,0.84829,0.94518,0.94824,0.96092,0.88697,0.43715,0.33528,0.78609,0.00101264,0.00101264,0.00101264
60,468.386,0.41162,0.36042,0.8484,0.94843,0.9481,0.96332,0.8892,0.43667,0.33689,0.78891,0.00100933,0.00100933,0.00100933
61,475.983,0.4085,0.36183,0.8469,0.94759,0.9483,0.96271,0.88996,0.44605,0.33024,0.79094,0.00100597,0.00100597,0.00100597
62,483.583,0.40368,0.35822,0.85019,0.94779,0.94831,0.96169,0.89072,0.42593,0.33079,0.78853,0.00100256,0.00100256,0.00100256
63,491.232,0.40931,0.36604,0.85167,0.94779,0.94833,0.96114,0.88525,0.43483,0.32999,0.79073,0.000999103,0.000999103,0.000999103
64,498.868,0.40783,0.35904,0.84685,0.94782,0.94677,0.95953,0.89184,0.42052,0.33395,0.7885,0.000995597,0.000995597,0.000995597
65,506.461,0.4172,0.37593,0.85451,0.94573,0.94723,0.96055,0.89093,0.4281,0.3306,0.78632,0.000992043,0.000992043,0.000992043
66,514.115,0.40483,0.36346,0.85048,0.94674,0.94826,0.96244,0.89527,0.41341,0.32344,0.78221,0.000988443,0.000988443,0.000988443
67,521.765,0.40928,0.36175,0.84939,0.94781,0.94808,0.96176,0.89515,0.40888,0.32824,0.78698,0.000984795,0.000984795,0.000984795
68,529.392,0.40766,0.36665,0.85096,0.94755,0.94826,0.96165,0.89631,0.40481,0.33003,0.78772,0.000981101,0.000981101,0.000981101
69,537.03,0.39914,0.35721,0.84717,0.94356,0.94804,0.96291,0.88587,0.42811,0.33133,0.78906,0.000977361,0.000977361,0.000977361
70,544.551,0.40296,0.36213,0.85134,0.94511,0.9487,0.9633,0.89345,0.41337,0.3408,0.79361,0.000973575,0.000973575,0.000973575
71,552.277,0.40662,0.36016,0.84676,0.94594,0.94665,0.96204,0.89281,0.41208,0.32535,0.78716,0.000969744,0.000969744,0.000969744
72,559.837,0.40538,0.35941,0.84981,0.94633,0.94864,0.96246,0.8954,0.41658,0.33587,0.79017,0.000965868,0.000965868,0.000965868
73,567.447,0.40868,0.36652,0.84661,0.94454,0.94854,0.96381,0.89205,0.42432,0.32794,0.78858,0.000961948,0.000961948,0.000961948
74,575.087,0.39934,0.3585,0.84632,0.94564,0.94855,0.96238,0.89298,0.41496,0.33036,0.78587,0.000957983,0.000957983,0.000957983
75,582.616,0.40069,0.3607,0.84889,0.94647,0.94826,0.96401,0.89199,0.4049,0.31371,0.7854,0.000953976,0.000953976,0.000953976
76,590.362,0.40886,0.36332,0.85282,0.94824,0.94806,0.96266,0.89554,0.41182,0.33053,0.78803,0.000949925,0.000949925,0.000949925
77,598.005,0.40663,0.36351,0.85019,0.94384,0.94799,0.96361,0.89779,0.41613,0.32244,0.78697,0.000945831,0.000945831,0.000945831
78,605.589,0.39861,0.34971,0.84718,0.94347,0.94813,0.96374,0.89684,0.41725,0.32261,0.7881,0.000941696,0.000941696,0.000941696
79,613.175,0.39466,0.36024,0.84935,0.94678,0.94615,0.96368,0.89429,0.40353,0.32307,0.7892,0.000937518,0.000937518,0.000937518
80,620.998,0.39005,0.35234,0.84323,0.9479,0.94826,0.96252,0.89605,0.40801,0.31922,0.78829,0.0009333,0.0009333,0.0009333
81,628.961,0.39084,0.3575,0.84724,0.94739,0.94869,0.96274,0.89955,0.39912,0.32386,0.78609,0.00092904,0.00092904,0.00092904
82,636.936,0.39957,0.35694,0.84746,0.94645,0.94874,0.96247,0.8956,0.41923,0.332,0.78747,0.00092474,0.00092474,0.00092474
83,644.816,0.38339,0.34701,0.84321,0.94767,0.94836,0.96179,0.89814,0.4039,0.32889,0.78875,0.0009204,0.0009204,0.0009204
84,652.694,0.39078,0.35475,0.84493,0.94648,0.94827,0.95985,0.90089,0.39958,0.32351,0.78567,0.000916021,0.000916021,0.000916021
85,660.627,0.38506,0.34436,0.84485,0.94882,0.94783,0.96042,0.89721,0.40287,0.31885,0.78454,0.000911603,0.000911603,0.000911603
86,668.447,0.39188,0.35972,0.84838,0.94583,0.94833,0.96249,0.89665,0.41284,0.32972,0.78619,0.000907147,0.000907147,0.000907147
87,676.224,0.39299,0.35417,0.84608,0.94784,0.94864,0.9621,0.90077,0.40909,0.33124,0.78826,0.000902652,0.000902652,0.000902652
88,684.052,0.38691,0.34983,0.84642,0.94729,0.94859,0.96157,0.90131,0.39828,0.32152,0.78082,0.00089812,0.00089812,0.00089812
89,691.927,0.39654,0.35562,0.84904,0.94775,0.94838,0.96345,0.89869,0.42299,0.32788,0.78588,0.000893551,0.000893551,0.000893551
90,699.799,0.39258,0.35184,0.84696,0.94832,0.9482,0.96254,0.90108,0.39994,0.3208,0.7845,0.000888946,0.000888946,0.000888946
91,707.473,0.38549,0.35102,0.84614,0.94795,0.94731,0.96453,0.89864,0.41565,0.32239,0.78532,0.000884305,0.000884305,0.000884305
92,715.131,0.39132,0.34803,0.84455,0.94833,0.94803,0.96251,0.88941,0.40493,0.3225,0.78635,0.000879628,0.000879628,0.000879628
93,722.76,0.39107,0.3541,0.84627,0.94723,0.94846,0.96304,0.89585,0.40289,0.32125,0.78512,0.000874916,0.000874916,0.000874916
94,730.49,0.38675,0.35466,0.847,0.94813,0.94837,0.96349,0.90008,0.39848,0.31656,0.78292,0.00087017,0.00087017,0.00087017
95,738.078,0.38612,0.34613,0.84504,0.9431,0.94652,0.96442,0.90004,0.40013,0.31553,0.78435,0.00086539,0.00086539,0.00086539
96,745.675,0.38276,0.33812,0.84123,0.94449,0.94851,0.96354,0.90676,0.37933,0.3135,0.78445,0.000860577,0.000860577,0.000860577
97,753.4,0.38635,0.34103,0.84045,0.94651,0.94803,0.96346,0.9014,0.40366,0.31757,0.7846,0.00085573,0.00085573,0.00085573
98,761.024,0.37703,0.34131,0.84024,0.94825,0.94828,0.96336,0.90219,0.39925,0.31249,0.78467,0.000850852,0.000850852,0.000850852
99,768.645,0.38074,0.34595,0.84454,0.94626,0.9487,0.96303,0.90407,0.38811,0.3208,0.78257,0.000845941,0.000845941,0.000845941
100,776.291,0.38864,0.35152,0.84683,0.94638,0.94848,0.96285,0.90419,0.38501,0.316,0.78313,0.000841,0.000841,0.000841
101,783.959,0.38994,0.35524,0.84561,0.9456,0.94686,0.96246,0.90035,0.4063,0.33199,0.78437,0.000836027,0.000836027,0.000836027
102,791.586,0.38343,0.34717,0.84265,0.94859,0.94745,0.96445,0.90384,0.39289,0.32024,0.78412,0.000831025,0.000831025,0.000831025
